index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
5312	1	11.806236053834851	0.11478651820799271	50.47848418636819	21	37.516197830550425	111.11	133.63135539985942	58	1	13.21877065422337	0.1394160645476311	33.75807409803713	21	34.74268830720611	103.78	186.4296675868744	
5468	1	11.164701679261915	0.11447190445997732	64.45381104925244	21	36.898270665253015	115.04	85.81865465196269	91	1	13.306365765340605	0.1334586360995765	37.698294268317184	21	35.253658692426505	102.71	292.00543347367693	
5625	1	11.704941826485822	0.11396361504294766	47.027288584986565	21	34.921970862842926	110.74	156.59818678895886	43	1	13.397642014940164	0.12861597144108936	35.91276761279435	21	33.83586644285404	102.34	279.66677745521037	
5937	1	11.199964160133847	0.11662266334527839	50.40192329686385	21	37.64411238881245	113.13	112.82930381390902	59	1	13.855021059680997	0.14007105768258135	33.460461918689454	21	34.61766874729083	102.95	247.57610395064714	
6093	1	11.601062657273733	0.11625474740075317	62.47286170459589	21	36.837238191244616	111.71	119.0576564937102	92	1	12.913890180202424	0.14036307106003726	29.799235543893868	21	33.886912156368645	104.71	166.5798989719287	
6250	1	10.687757174163385	0.11472643677768567	60.631546220874256	21	37.58250619283512	113.7	120.56246982554224	37	1	12.955381665491032	0.13975128689910674	31.930121731379252	21	35.299393099958266	104.02	159.24364389506098	
6562	1	11.598371588592123	0.11530162062710303	60.07273880667451	21	37.53158499745783	111	150.26660488281064	60	1	12.787069714966426	0.11619766825993193	40.50778525036841	21	35.55708869485293	103.77	182.29996825792477	
6718	1	11.047038288992429	0.12011207031258825	52.55993917892543	21	36.418621941340824	113.32	125.11812231438951	93	1	12.978416892868063	0.11779335801359087	46.691496043245344	21	36.019261823479994	103.71	213.4119787698443	
6875	1	11.52976986584523	0.11516114388988749	53.39599968734041	21	36.41299679907982	111.82	148.6665646925742	44	1	13.214927582315253	0.12781261198486651	45.87283355210248	21	33.62655324598478	103.19	94.17437213343717	
7187	1	11.488970588199644	0.11990725138151445	52.577997002089504	21	36.933304758527726	113.59	108.66175285179852	61	1	12.413724613810315	0.12014745609183997	43.23435343871031	21	35.15175522015158	108.71	68.37840762925325	
7343	1	11.182555213860546	0.11520852031987955	48.520392388205096	21	36.97289070558369	112.82	109.42417299262405	94	1	13.697879568338248	0.1394772966005752	25.732750313304088	21	36.093347734654344	103.12	159.77609804506235	
7500	1	9.791538152687876	0.11832194851473858	54.17665668292561	21	36.61353891618302	112.01	162.73955259106617	18	1	13.80167000214476	0.1435970369266924	23.09135363572413	21	32.810531338378695	102.5	365.92820902637226	
7812	1	11.390818999911469	0.12125929602049755	52.73839137602262	21	37.2879005800095	111.5	141.1831489213298	62	1	14.22495341334843	0.12964184220459357	37.44284227886921	21	32.44557695935949	101.92	992.4722196984651	
7968	1	10.738255033557046	0.11453988795037957	64.2770268245089	21	37.239621749985986	112.77	116.9705411533308	95	1	14.417323856242025	0.1378234407678346	25.15715097445819	21	33.625840746319206	101.64	1332.3247404638769	
8125	1	11.431314944212305	0.12037888136904427	37.66319124065187	21	35.6388753104606	112.05	129.5075820728625	45	1	13.707267593382246	0.1750935239990178	22.71232594697486	21	33.97198687431047	102.05	665.0852997289091	
8437	1	11.414873580307864	0.12293252517215056	52.973596307854	21	36.96575990314537	110.55	148.7870754721844	63	1	14.24095699231555	0.15832373175713302	25.641920740844512	21	33.00994957190056	101.69	999.8063262303722	
