index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
50	1	5.519921396304787	0.08759757288939218	64.4964668590891	50	129.798454232477	153	1	5.077740202498166	0.07788723973803291	84.44640323916838	50	129.8509733488675	
51	1	5.642512949573861	0.09195889932748093	67.52897107554682	51	129.90404622646508	38	1	5.0982431453891905	0.07999632718018673	65.01256173424355	51	128.53111108494585	
52	1	5.438684273472512	0.09180304171184098	52.43677553054317	52	132.33686300634454	154	1	5.268204279902909	0.08156347715121781	59.19694649265593	52	128.8502892563901	
53	1	5.650994575046398	0.08518132532093281	64.22650004007512	53	125.416497615235	77	1	4.940418552248109	0.07834417839796644	62.82623817612779	53	129.22809557437256	
54	1	5.648504840763062	0.08691121280793236	68.43725507560684	54	127.49197750307334	155	1	4.955499613463116	0.08103521850281879	51.666144882446	54	132.1123269297635	
55	1	5.696382796907333	0.08137169506086162	44.25031820396733	55	124.85125892620465	19	1	4.910481914673864	0.07807021995108357	58.4213414963712	55	130.1987939526316	
56	1	5.430060816690483	0.08463852910031935	49.38894853020361	56	130.22774883793736	156	1	4.997501249372986	0.0808849221552062	61.22714966785237	56	132.1896668821614	
57	1	5.519433926889713	0.07886609902239042	68.69128348064172	57	125.42442060199448	78	1	5.164275607047235	0.07677417585238312	51.15873290966687	57	129.95383781268168	
58	1	5.563529948464647	0.08633036862023755	69.25243050164038	58	127.1675509183299	157	1	5.10016728549491	0.08125680549749548	61.315513570385775	58	131.40699823883136	
59	1	5.6310745216214375	0.08292067003694586	66.52322226857368	59	125.56531103830471	39	1	4.971908715752986	0.07834887827917245	63.05847497412288	59	129.84160663148913	
60	1	5.470758794250615	0.08471540816973024	52.0545938071772	60	125.48519293012669	158	1	5.061343483011125	0.08090064276234667	62.45695731267955	60	130.1008929135285	
61	1	5.619871866923199	0.08745110118589249	65.51717884521604	61	133.04359574734335	79	1	5.038189476225472	0.07983623422692976	52.658642505343174	61	131.06928560607824	
62	1	5.4280565386539745	0.08263700512930436	60.211634120466364	62	127.39831246858526	159	1	4.992710642464513	0.07760973355921763	65.32972917470342	62	129.03077530352056	
63	1	5.329070077267549	0.08831085529093712	56.06837404529106	63	132.76176797195015	4	1	4.798004030335821	0.07541469785667265	48.13799358426503	63	131.83754978720773	
64	1	5.457204601537275	0.08138836689095076	61.47028132284561	64	126.59658892363053	160	1	5.145938825092122	0.08074886731462085	57.54629010151268	64	130.96470367131812	
65	1	5.768276784986682	0.08980975341159118	67.33827265422508	65	127.67098450624331	80	1	5.142287083596752	0.08085638306454569	59.93425636517516	65	130.3657891027219	
66	1	5.462630147165702	0.08334744780455912	58.34007119993235	66	127.03597067077519	161	1	4.954468435081874	0.07754646982464633	55.328891023511574	66	130.73861114252847	
67	1	5.552285876083531	0.07946077167352388	71.0315493536879	67	124.0080738580422	40	1	4.995703694821941	0.0760766557254119	60.476087604660584	67	129.9463325425321	
68	1	5.4732140902602655	0.08538856118434003	61.81332275581319	68	130.3498685857305	162	1	4.99231183977934	0.07745805454145556	64.54009136636448	68	128.35325184318947	
69	1	5.441525368394798	0.07858326770214151	82.57308983124514	69	123.74959663117646	81	1	5.135104602071215	0.07843502792293706	56.55599041079734	69	130.37471853091486	
70	1	5.3700501562451475	0.08968435272076634	64.9915585363015	70	133.00444687017654	163	1	4.92746767580879	0.07786083884047908	57.561162847984605	70	130.4749467270088	
71	1	5.490764534065683	0.08928978460319906	69.44892553891373	71	129.14915915886755	20	1	4.9610064889925445	0.07578964231817344	58.94442933145491	71	129.1683073343381	
72	1	5.595407289707755	0.0939525978036188	80.15183011358486	72	135.08253924023708	164	1	4.9558434350026195	0.07540213390505845	69.23931520222412	72	128.8050486033419	
73	1	5.730461989851554	0.08723931034277439	60.316113316491375	73	127.80870572121442	82	1	4.978691201659078	0.07642164088798925	58.04710345790776	73	129.27791971281576	
74	1	5.506668575638103	0.0849229217436716	47.583652801504385	74	128.26544686144092	165	1	5.1393271592949965	0.08540637496457397	53.33611134594708	74	132.2904480574949	
75	1	5.557840445517181	0.07742693156732891	60.27822559476347	75	123.50307285421391	41	1	4.800768122909323	0.07853854950359569	69.08276381660033	75	131.03423805084057	
76	1	5.545573523205923	0.08375777076288518	55.57309195973165	76	126.34053043896529	166	1	5.084918132826249	0.07929462313638021	74.26281957318957	76	128.32427610263485	
77	1	5.686600095543857	0.08572322324705682	66.95344739952608	77	126.13261619202218	83	1	5.124788602460853	0.08095856571466042	59.90688417902731	77	129.36243786076372	
78	1	5.460542122629376	0.07865217486963981	65.4318517012964	78	124.15182104165063	167	1	5.20898445640236	0.08294423869623235	65.05083570681131	78	131.01537160960174	
79	1	5.029725678768124	0.07556404626227511	82.52096767905184	79	127.27500068067809	10	1	5.0135868202862905	0.07787518093870066	58.64699901594583	79	128.69813732226012	
80	1	5.562230231827014	0.08471043018583174	59.1056941524765	80	128.53900288357212	168	1	5.062265870214482	0.08604532899572769	58.85220141492686	80	132.67995731814855	
81	1	5.578987302219276	0.0925291785960625	73.2051074531583	81	135.52699556485192	84	1	5.170203085596719	0.08235777982497815	54.828969449744456	81	131.08802269888133	
82	1	5.442473059772423	0.07858857084185901	80.98310209936955	82	123.03442335650621	169	1	4.860645299243879	0.07786617185820506	63.609427456158144	82	130.40612826828962	
83	1	5.450244715956542	0.09052266308191183	66.41554571360564	83	133.1243530961156	42	1	5.035145314292495	0.08200749690109108	46.23118190225668	83	132.38265528360427	
84	1	5.298181664028218	0.07754061480251424	69.78320448821998	84	125.34493524520083	170	1	4.772085210334386	0.07640587436451521	58.96413485887646	84	131.0263552096946	
85	1	5.576684995365037	0.0898057626052588	53.45227215360744	85	131.97437034347777	85	1	4.972749333659742	0.08151393730295121	54.137743187003416	85	132.64462250284666	
86	1	5.436791857845868	0.08098090072411787	71.35378267263712	86	125.05498511905326	171	1	5.0370221125263654	0.08241053216509861	64.59340310889625	86	133.4452162717129	
87	1	5.539552404158027	0.08894350692687361	58.481153234137466	87	131.205254962934	21	1	5.093568859954373	0.08166783198324346	60.55427643114893	87	131.86298204381836	
