index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)
146	0.98475	434.0591528188651	0.3084031480071085	184.80237475410277	146	28.722810787689344	19
147	0.96375	422.22976747249606	0.3048854301772587	185.58044293954842	147	28.50447737651319	13
148	0.9695	416.43400197590984	0.30853102974041596	182.19207810039867	148	30.13087443390602	16
149	0.97625	431.27726544819734	0.3094793000426802	182.63373318999768	149	28.318884693101783	14
150	0.9735	420.54106593228045	0.3092877931860983	186.49401868295084	150	28.31583917164228	17
151	0.98625	454.57688053103243	0.29832699619771863	193.34777040261935	151	27.082603325015853	6
152	0.97525	431.80837050726365	0.30452020849354877	184.82703854608818	152	28.871837966894184	11
153	0.9665	437.37484585538516	0.3075487152957404	184.21523192785799	153	28.577243011995595	10
154	0.98025	434.4983488841195	0.3019297798180737	189.15631518254608	154	30.196226947047933	12
155	0.976	447.3011835607719	0.29491974043715846	195.38769591621653	155	27.287053042552518	7
156	0.9775	428.15531854317635	0.3056308610400679	184.13692517633444	156	28.738243733634768	20
157	0.98275	444.0603678098715	0.2931272788942592	198.10881329296384	157	27.819758062913372	8
158	0.97475	435.92983083826476	0.2969949559716166	192.0765747536048	158	27.675254923137338	9
159	0.965	433.8248516453759	0.2962651122625214	194.06171823522064	159	28.12677739434909	4
160	0.9795	430.8903748020252	0.3115067211162156	182.39336170703882	160	29.313267441535853	37
161	0.97075	431.386926187591	0.29294360030903926	198.5868661691734	161	28.009751943568126	29
162	0.9915	457.5661082652281	0.3002941670869053	193.00719687299878	162	27.532816472568907	30
163	0.98975	459.5152978317868	0.29464932221941575	197.82033292332596	163	27.815258696561642	28
164	0.97725	403.247436505847	0.30781103436513985	186.66816092013616	164	30.664385622521753	35
165	0.973	409.5204023653501	0.3133607399794453	181.72189790717186	165	28.76152852271753	34
166	0.9775	426.46016251296277	0.30743393009377656	185.5975060618137	166	28.70500669357416	36
167	0.98125	444.60302896429727	0.29077282377919306	201.23680225198834	167	27.657495421974524	27
168	0.95225	389.8749206739116	0.30017064846416364	188.2694999739442	168	30.102512689244758	95
169	0.94375	391.4959813326467	0.2932450331125825	194.71766576449022	169	29.727824089403974	93
170	0.9425	385.01996588948884	0.3013129973474801	184.873923656617	170	29.857472904923746	94
171	0.983	442.60339044104836	0.2974143777551712	193.58352831635162	171	28.699183366580844	31
172	0.9485	399.55347740005504	0.29719293621507614	189.75496246885774	172	29.185756498748027	110
173	0.98175	423.7846004424673	0.3087259146082675	183.515540326949	173	28.616451227744886	32
174	0.97575	419.61876296857054	0.31417285848492593	182.01197791471017	174	28.924519199974366	33
175	0.97225	438.557912423705	0.29811862518213755	193.54901869412197	175	27.79453416286321	26
176	0.9655	406.59051429174275	0.29323321249784207	197.44760072068175	176	29.028237575252465	45
177	0.95325	385.8608755489486	0.29624967217414105	191.4922934000434	177	30.491692961032438	43
178	0.971	416.96636571516956	0.2964769996567111	195.23781267389197	178	28.730987823308222	44
179	0.98375	436.1899061110763	0.31246082168572653	183.13270288309474	179	28.716753962266285	39
180	0.9575	387.6361280919792	0.30007397737162744	188.38116967077974	180	30.992171844402737	41
181	0.92675	363.7451919303173	0.2979812966459848	188.483790564607	181	31.386966732420625	40
182	0.9435	375.0596279218107	0.2994523935700407	186.32783749550782	182	30.175510031926628	42
183	0.9635	406.62587043683845	0.3083506313786539	185.42463828026607	183	29.571108067704078	38
184	0.94575	392.2890266917966	0.295206626134461	190.67803652046624	184	29.35404683576196	52
185	0.9675	404.02985853736647	0.2942807924203271	196.28751771964002	185	28.48313558152992	48
186	0.95	373.4313426822125	0.2925701754385963	194.78504279214658	186	29.459159573739047	49
187	0.954	401.5067023000599	0.2966020265548565	191.2681212103475	187	28.970566877129194	46
188	0.95925	398.91460295677945	0.2934801494222915	194.65070589261893	188	28.99547014472571	50
189	0.96275	409.7418764496647	0.2905479096338612	200.18890995229611	189	28.85325995885809	47
190	0.96325	407.42738106563075	0.2921619517259277	197.32541341668863	190	28.89293269178778	51
191	0.9685	432.57849836968006	0.2984942350714162	192.20227997473518	191	27.768618262374158	3
192	0.95175	384.08765310035227	0.3027493214254439	187.00501820082573	192	30.314965339341995	58
193	0.9435	385.13348028412497	0.29723988694576925	188.13075525609324	193	30.294609464703683	57
194	0.961	410.0091729419178	0.2945933055844603	194.51644711801345	194	28.101524799200053	64
195	0.953	381.15426148866527	0.3014690451206713	187.035854622043	195	30.404234906002515	56
196	0.95125	385.17993622518077	0.2936224266316248	194.7107296829948	196	30.479819214027597	73
197	0.948	392.36786556849137	0.30391174402250337	184.09337821821714	197	29.914826134790342	60
198	0.94775	389.9684198615673	0.2929921744482546	194.89094778362357	198	29.18184436961443	65
199	0.939	372.7040892267167	0.3000754348597795	187.8124823119555	199	30.282157592990092	55
200	0.95225	389.2772463412853	0.29981184912925496	186.42197457529682	200	30.00635321975912	78
201	0.9355	380.0103583796613	0.3031623017993938	182.75440993524646	201	30.156038559343266	61
202	0.9515	385.0278199291766	0.30011385531616736	187.9021477795552	202	29.882517119351032	62
203	0.9525	387.9916087904334	0.30581802274715664	182.61254799440133	203	29.732329669728788	59
204	0.9395	377.6580777424736	0.300514458045059	186.33479868784113	204	29.751160423734927	98
205	0.94425	384.13815548589804	0.3007325037507722	187.42699897687055	205	30.476975619291107	96
206	0.94325	388.69257950533205	0.30059192508172056	187.1915542455597	206	30.298878010010817	97
207	0.95425	389.5017194404068	0.30077285826565325	187.95031838064503	207	29.95804873073312	54
208	0.95025	404.3444959788785	0.29406296588617026	192.02425674969749	208	29.17856197382267	255
209	0.95425	394.28559623170975	0.298131167583617	191.34672066117827	209	29.750554622003527	84
210	0.947	392.86862547836085	0.2920406546990494	195.55420187314402	210	28.678080107686554	85
211	0.943	385.2084843904561	0.29875397667020126	189.43847424023312	211	30.410450565018586	81
212	0.95325	394.58570053707695	0.29075531077891426	200.0376100132092	212	29.1222050284389	88
213	0.957	406.66298389499826	0.292132532218739	195.03472025016038	213	28.864476544132057	86
214	0.95225	396.75430190411043	0.2923689507307252	195.60456237952826	214	29.37711909020302	87
215	0.934	375.14559987145554	0.29631513204853654	190.31187083607844	215	30.261365573836777	79
216	0.944	387.29396801951674	0.3016905014124292	185.37119193890507	216	30.182409978317008	83
217	0.948	388.88717964491775	0.3020042194092825	186.09383991351007	217	29.86878751632507	82
218	0.954	408.32049306631274	0.29574161425576506	193.587437134299	218	28.53568163857768	92
219	0.9505	392.41995747574066	0.3010652288269331	187.34977271623254	219	29.581682526603327	80
220	0.9595	409.9288659132953	0.2927479590064268	196.92813824333868	220	27.918532448948017	90
221	0.96125	411.94368852984684	0.29399653229302103	195.096895880339	221	28.95724540799741	89
222	0.956	410.65292096220446	0.2952231520223149	192.25750022376724	222	28.08533673359594	91
223	0.95625	394.867242020088	0.29887581699346405	189.98677588923474	223	30.27437448937907	53
224	0.9195	355.9504108236989	0.29861790828348705	185.93293956731645	224	31.686458935166286	246
225	0.888	335.63261835022854	0.2973536036036031	183.50774833380072	225	31.13999518317146	244
226	0.88	313.88774946050023	0.2887878787878783	193.4768357186376	226	33.01614503802677	245
227	0.9565	401.89919956301407	0.2929473775919149	196.05588917417884	227	29.461539943261023	106
228	0.93325	383.59176711159245	0.2937762300205373	192.0463390380582	228	29.835996622187253	108
229	0.95025	401.7206028450831	0.2934315531000613	193.24524656421434	229	29.10319719522822	107
230	0.9595	406.24503836992915	0.29114556192461355	198.40727845877905	230	28.974583930432516	111
231	0.9515	384.70091171895905	0.3023252758801892	185.27843840372623	231	29.725919153439584	99
232	0.95875	413.0985081057221	0.29005215123859185	199.67751135372103	232	28.973509004237304	109
233	0.95625	398.0063264796654	0.3042919389978213	183.64730823056564	233	29.872324482570793	102
234	0.942	389.936976746603	0.30170293701344647	187.24038609625723	234	29.93069538783284	103
235	0.92875	368.9029234191754	0.30060116644235035	183.34288199852188	235	30.78364146968934	100
236	0.9455	383.39111570670536	0.30363123567777184	186.42830332252856	236	29.98932362244953	104
