index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
83	0.97425	451.8941985458641	0.2866906167137112	201.35529243300138	83	116.71761756840202
84	0.963	445.0709432915695	0.2889667705088263	194.33163797676517	84	116.3592208085897
85	0.9785	460.47058823529414	0.290027252597513	195.34071427373206	85	116.59033868471619
86	0.96375	440.87878406663464	0.284811932555123	203.16137788955442	86	114.5249036357004
87	0.98175	457.4737013781306	0.2900772430184195	192.02623156259426	87	115.49704275886492
88	0.9685	441.40602745969346	0.28222767165720186	212.62178012572505	88	116.16322700212956
89	0.96825	428.3533887807203	0.2809880368362163	213.95947540335183	89	116.2263365769429
90	0.96475	441.1294010059677	0.2837220350695341	207.66085881895432	90	116.27349975301246
91	0.985	470.43090993757147	0.28517766497461916	204.59468205227648	91	117.62874905813773
92	0.97075	461.68479876345685	0.29111511717743993	191.01834133065944	92	119.01232007911089
93	0.962	451.1084278027234	0.2865254677754678	197.21408497399972	93	116.5012369453288
94	0.98	451.51406950084186	0.28886054421768687	196.45531608261672	94	117.4448418068399
95	0.9695	440.2515723270277	0.28421866941722523	204.0030450170527	95	114.67651062483885
96	0.94675	423.85306725464966	0.2886277616407005	193.5157551208545	96	117.45188628449303
97	0.9755	449.787901143504	0.2848154792414144	203.86217661707096	97	116.24766235664407
98	0.97675	463.76089072476424	0.28579899325996067	201.74975382417082	98	117.65090162688767
99	0.97225	455.9576987560502	0.2870403702751348	201.24899596825648	99	117.99145652200124
100	0.98475	463.8865662501721	0.28492003046458486	204.18911022578735	100	117.54943652418125
101	0.9835	461.17415361522217	0.282918149466192	209.4794358441613	101	115.82009082478078
102	0.98025	463.96876109341287	0.2903978576893647	192.3602495623004	102	117.64793544575687
103	0.989	464.8976426070553	0.2843655207280079	205.05994931541915	103	116.26833577556246
104	0.97325	435.9560124526842	0.2818520421268943	212.5185832378512	104	115.28585080593375
105	0.9875	472.878332595066	0.28275949367088593	212.06125840612384	105	115.96501720727846
106	0.99075	464.9498445474658	0.28354361174194626	209.49553934084267	106	117.40024661714611
107	0.993	480.77854168674685	0.2847054380664652	206.74340012816728	107	116.49722176328045
108	0.98925	473.41596477799277	0.28867829163507686	198.17571740711443	108	117.97264346608857
109	0.98425	467.3940142224324	0.2862077724155448	201.57793768480946	109	116.02271434269431
110	0.9785	463.37074395027975	0.2874041900868675	198.68417943270092	110	117.62030222039472
111	0.9655	443.43403028943465	0.2869799758329016	197.54762657436805	111	116.1736346836969
112	0.96675	457.67646641097326	0.28420825790880083	202.23866280085858	112	116.30990356098071
113	0.96425	458.0814498985106	0.2869933454325467	198.3485288208079	113	118.00777239434797
114	0.995	493.46591613551175	0.29351758793969845	190.95333756888826	114	118.61746393098299
115	0.99475	472.7000570233351	0.2863575437714667	205.5436462172619	115	118.31549158472605
116	0.98875	480.56476992427866	0.29761061946902667	183.03179388731652	116	117.85720453737359
117	0.99475	481.3112374501164	0.28506743737957585	206.89621118178866	117	117.9284154899158
118	0.99775	498.46999313050895	0.28467802555750416	208.96844859408782	118	122.12448810605116
119	0.96675	457.57357030444604	0.2894534953883285	193.74487660769026	119	116.20699740997543
120	0.98975	472.31600672868444	0.2867432853414161	202.34702664866185	120	114.87524785299314
121	0.98075	457.2634130989931	0.2874415838219048	199.5774546360961	121	117.35937848505604
