index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
6250	1	15.242043653130155	0.11055594822760394	62.79618007179741	247	132.5804790707467	101.64	1228.946135257488	29	1	14.30001429998002	0.10565109013471301	71.74967831744662	247	136.2706379957269	101.56	1250.5677158417304	
6562	1	15.522647542647755	0.11505499603072805	65.01684271054489	247	131.84944885480192	101.62	1075.1313078853402	58	1	14.49821671943181	0.11196571771397579	73.94043871729875	247	135.6257206046244	101.59	1341.7037662646046	
6718	1	15.509165917140313	0.11602158238667949	82.79340042100823	247	130.08933734353587	101.5	1569.312046337658	86	1	14.814375870323735	0.10718974292060846	76.8308462266295	247	131.81912975978895	101.49	751.0071350235484	
6875	1	15.299409442722043	0.10536071419820439	59.27006482235126	247	130.09367135645198	101.64	938.1567647112968	43	1	15.536635386226369	0.10987750022289483	74.99823951329142	247	133.69319866525174	101.88	579.8536231390826	
7187	1	15.901031976866042	0.10002291571247357	59.56329614707132	247	125.6222236056795	101.41	1477.2091742668854	59	1	14.290818149343805	0.10301260411592267	70.43273159366798	247	135.57748229544035	102.48	355.82767469095927	
7343	1	14.790492671303547	0.10898246735010446	70.09028318126153	247	128.61928632829506	101.48	1466.059542300038	87	1	14.403825656074744	0.10450382979474412	73.87813289829519	247	130.5621757605169	101.47	1266.5227999821816	
7500	1	13.98914442391628	0.10506878351455928	76.25266101377827	247	129.57538937262166	101.47	1653.487181261736	26	1	15.054346189697279	0.11528652625970755	70.72543995997044	247	137.08725709601583	101.56	1539.7467241467991	
7812	1	15.395036640130698	0.10960627873181367	71.86517774413801	247	127.84423195095937	101.47	1533.53466572545	60	1	14.398226138495712	0.11151400819693612	72.43069868506822	247	134.13748731254526	101.92	519.4176200306589	
7968	1	14.767994801734076	0.11057755775577549	66.75986640432959	247	129.86979819604204	101.46	1752.7843154903899	88	1	14.832393948322826	0.11479129832259667	80.2970924540334	247	134.10847735287098	101.86	537.4559315561862	
8125	1	15.088418130359626	0.10769922137844846	61.72643762667018	247	131.74441176923384	101.62	1157.3598456797306	44	1	14.355440712119105	0.10839094491402305	70.92402263140308	247	133.72585170177027	101.91	491.0186919119232	
8437	1	15.524334394125816	0.11414560317253875	62.63512077130074	247	130.35143060776625	101.64	1381.6501651694202	61	1	13.705013293860096	0.10589481536388921	83.99902236026614	247	132.99520327636773	106.54	59.6799216402145	
8593	1	14.452120125994476	0.10734323432343224	63.81094999454131	247	127.9541020933436	101.32	2057.8189278938853	89	1	14.827115829373783	0.11418306352051528	72.77309043725049	247	138.39179106908375	101.59	1341.7037662646046	
8750	1	12.94431356305893	0.10964629923871877	67.96883688564877	247	131.65311196425742	101.8	1222.1612681205854	30	1	13.963750104761903	0.11068541379551995	68.12001470801457	247	134.9614858476306	102.35	404.73976042603573	
9062	1	15.082046332124927	0.10902413142513562	69.67908721566646	247	129.1962105259306	101.85	465.72074934235	62	1	14.05935861206435	0.10945046681138691	70.67056157218141	247	133.7232842985585	102.49	381.06286897533073	
9218	1	14.509997388113606	0.10929495941027562	76.14308273537587	247	127.37165713721542	101.44	1814.262210358755	90	1	13.819407976480113	0.10841661958314608	75.15415180492018	247	133.9057911810075	103.97	262.043228587506	
9375	1	14.428557000080932	0.10723789461184831	66.38399201518433	247	131.22622539661742	101.72	641.8489047805809	45	1	14.166312508837123	0.1066211870987212	78.31007545991649	247	132.36932229209722	101.41	1827.1929916752035	
9687	1	14.87895966310757	0.106833831869766	72.09187722427207	247	126.98882223749617	101.32	2057.8189278938853	63	1	14.353792271809253	0.11193662687799322	70.88012306348907	247	133.78781896336966	101.42	1712.9008435001692	
9843	1	13.30778239116807	0.1091047854785478	64.76566957080487	247	128.31317839031678	101.5	823.2051953335579	91	1	14.014042070185024	0.10795477833334437	79.2048699881908	247	130.30083844278298	102.08	461.57785023667645	
10000	1	13.998348194883437	0.11476821354322748	73.1334936264088	247	130.73135633484216	101.55	1615.0250724309653	2	1	14.219694276629546	0.10598585747715034	92.82447617300534	247	135.58770364002658	103.88	274.01823204101095	
10312	1	13.385984873844603	0.10496950351802736	71.61396987430125	247	127.55769527907381	101.43	1761.136975674873	64	1	14.175148130233213	0.11114723535536103	70.38972536699322	247	136.3026590335417	101.6	832.4391069918057	
10468	1	11.220825852768694	0.11000589008072703	61.640286474510965	247	129.74067121353656	101.45	1573.3430984953097	92	1	14.196076204529184	0.11191161827204989	58.37819428093589	247	134.70596088807488	101.72	1202.2554540177416	
10625	1	11.12668847499637	0.10519728002497558	67.50733423099123	247	129.7632361773353	102.33	301.8893283513839	46	1	14.079152998178339	0.1068409576251742	76.29848623263807	247	132.40396553805815	101.95	567.1058312552652	
10937	1	12.24484798020995	0.1179086317483832	61.06449524246538	247	129.09399575331065	101.49	1749.3120563553289	65	1	13.560425254988399	0.11181299065943133	65.12430514841303	247	133.84941562304004	101.57	1443.726771241567	
11093	1	9.281948466609196	0.10265385362065613	70.59547136819454	247	128.4031863427611	101.41	1545.6502007174206	93	1	12.491724232757166	0.10396892619587478	71.19065016479702	247	134.03248491620275	102.78	283.1742613562998	
11250	1	12.104925494178671	0.10525297566878326	69.9977507662257	247	129.05253787196744	103.2	225.54136976103564	31	1	12.441989225197972	0.11081750268116464	66.087332791315	247	137.70572065351217	103.2	281.4214437701169	
11562	1	11.65569089108769	0.10266691225947261	73.58664400751636	247	126.38113559673056	101.43	1661.8648554329584	66	1	11.350995482244041	0.10687502149415393	83.34031924197424	247	132.06470617632883	101.69	695.7215782395054	
11718	1	8.157272208160263	0.10318080059862059	72.26702461404959	247	133.51590408454126	101.53	1654.4649010890319	94	1	11.936165387560152	0.1091425295470723	67.87202759537797	247	134.98005137048634	101.61	669.4517700356985	
11875	1	11.572734637190404	0.10448245132908485	72.67204954342228	247	129.870955688422	101.78	510.77960011948454	47	1	12.609386427314792	0.10424983259034065	82.26663843615943	247	133.59559382498074	101.57	668.123822281888	
12187	1	11.58251966131938	0.10086292170621969	77.61162060717118	247	127.4597885090312	101.42	1621.1361920232075	67	1	11.318234808054232	0.10895722760191955	64.79100915910034	247	132.05620085820982	101.58	1417.1001446702296	
12343	1	7.504127270030752	0.10124556480776568	72.64320042767366	247	126.81974026091346	101.68	494.8761005031284	95	1	9.117598789196197	0.10538426397179977	75.3724113681616	247	129.20999121973023	101.54	899.695345440727	
12500	1	10.777255679579884	0.10503535028545682	72.77178070191312	247	127.93831367139722	101.78	616.4699671708833	27	1	7.933926262091313	0.10011405151389388	78.28108613728996	247	133.8527142179289	101.45	1468.9142310684085	
12812	1	10.428072370820228	0.11092127025952159	68.30852404873106	247	128.07599872223534	101.95	746.6098785984508	68	1	7.255156602580611	0.10136688571769793	77.57101184723382	247	134.68686913300033	101.42	1507.519824749093	
12968	1	7.009034645654913	0.09931500679479706	74.96761988517873	247	134.43886403277273	101.65	292.1211202067831	96	1	7.709446384640671	0.10090245043712043	79.38577142911427	247	127.30367569707334	101.33	1363.7490789513033	
13125	1	9.001467239151077	0.10724991848128268	70.34595018318201	247	129.4275338821372	102.74	201.450984343354	48	1	7.409438142306282	0.1040218828909779	75.2655971981626	247	127.30125054450114	101.55	1470.36215046818	
13437	1	10.639316530328125	0.10516907396622006	69.67079803697854	247	127.1824953209935	101.52	1407.9009242030972	69	1	7.6367357536628795	0.10775885943213828	71.18434803938153	247	128.97535994777962	101.73	1173.0621808372246	
13593	1	6.44371415685199	0.10147855671346681	67.11084642278989	247	141.3293320536176	101.76	601.793137163601	97	1	7.176896135964589	0.10068964298333681	87.4883137272539	247	130.80542354035407	101.78	609.6619475759588	
13750	1	11.71563803364335	0.10285978290576049	69.58354117198483	247	128.38832930886204	104.03	184.05961158872356	32	1	6.810550905451684	0.10426956195905135	68.77517151401784	247	135.30380216130325	101.64	847.2834069249828	
14062	1	10.9404402433456	0.10140927353157922	73.66096476468194	247	126.62420431260227	101.82	332.5578836792364	70	1	7.2608986088032825	0.10105083313655434	76.95605709331376	247	126.27151712598403	101.75	555.5673715874823	
14218	1	5.9202074440627035	0.10119448650747419	76.85680356587766	247	146.01304078874279	101.87	326.97945811126397	98	1	7.302574887901105	0.09946906006326917	93.91888918168695	247	125.65492675117699	101.43	1709.342695437477	
14375	1	8.801112460635077	0.10170512521840416	72.5728447961293	247	125.94847411682792	102.06	310.39276282015186	49	1	7.078743947660251	0.1042881019298097	75.01796292371046	247	130.00360678500635	101.58	1150.8280619115126	
14687	1	10.943672915478581	0.09892369791519406	89.43560090481017	247	125.5587545627879	101.28	2129.9725634053957	71	1	6.902454512828044	0.10158842661128306	87.4767457743977	247	129.4246716134215	101.34	1951.1262378196334	
14843	1	5.451076587634358	0.0981209279751504	67.12771598813542	247	154.14409744463413	102.22	395.3642386485421	99	1	7.262955296537662	0.10409150898434628	76.76028840964172	247	126.98113464928493	102.14	402.21546584211274	
15000	1	10.279710934530588	0.10215882428334201	66.21921514139561	247	127.22113602741643	104.5	158.30210844842838	25	1	6.816260871953053	0.10263631097803652	75.2021274886196	247	128.22008079074013	101.99	421.8123247857312	
15312	1	10.982735140370364	0.10730652300524161	82.23985307709667	247	128.59508386569362	101.56	873.012837941698	72	1	6.664001066242652	0.10120745801022131	74.7594699022562	247	129.07249361776627	101.98	507.36971956112245	
15625	1	8.607926178397697	0.10809229596289147	64.27581741786511	247	125.81308378493317	102.94	169.85949318699676	50	1	6.932216784307715	0.10265802838465976	80.06489560773272	247	126.204681811319	101.73	692.1712444625583	
15937	1	10.866730418209633	0.10054430509298778	71.0887289099055	247	126.49526738433762	101.72	800.7431238034658	73	1	6.385125212312096	0.10033925865062868	68.04862753554818	247	133.01008560639644	101.58	894.6199824936908	
16250	1	11.775095672581319	0.10288771236852184	78.8941792984203	247	128.54628438116012	102.93	278.73471488642775	33	1	6.327712215633516	0.10234919374290366	83.55336448043914	247	132.5077136786651	101.81	571.1804066367347	
16562	1	9.856003784693149	0.10024880004276836	86.49629342872623	247	124.78061710029739	102.91	101.2641053808193	74	1	6.901168367802541	0.10276807033644536	89.77837897723724	247	124.96208542199278	102.85	150.87150352641623	
16875	1	9.106555809547668	0.10319101277346458	70.09465912378784	247	127.4481649646763	104.33	193.94691074373037	51	1	6.549174476567775	0.10200450802385093	76.81108835297943	247	131.92435713534837	102.96	133.6358073814026	
17187	1	10.318959023427702	0.1058322405113155	78.30774954950876	247	127.2485927944449	101.75	762.0106133727429	75	1	6.017571308234841	0.09981312183759775	72.78276165747175	247	140.17814260287437	101.79	626.6635662586178	
17500	1	10.789814415145436	0.10479366491189376	78.66775580623016	247	125.39617210751094	102.49	276.4613993619356	28	1	6.47161227276762	0.10554648018223185	82.27684518838196	247	127.20792575443552	101.48	877.9025690922597	
17812	1	10.54674316571136	0.10598575863297346	71.14930113943278	247	125.18559535993576	101.78	793.7230851294004	76	1	6.759314335147715	0.10259478262503574	87.79614712125904	247	123.68731882844266	101.55	900.1084633039636	
18125	1	9.777847309170077	0.10849797475464269	69.37848369828569	247	126.69058944257664	101.99	351.5348971132342	52	1	6.285039092938449	0.10402868606106748	76.20883869827793	247	127.8149073302555	102.13	480.2139395178139	
18437	1	10.098052085766524	0.10561294894195297	72.80630585101939	247	125.59207694425233	101.57	1251.9504082027613	77	1	5.644742486849055	0.10229327367345525	83.27997085941159	247	134.2923174882256	101.65	628.0400672613861	
18750	1	11.036674870628225	0.10461170081028655	83.4907492775278	247	124.92758197022874	102.21	426.61151997593123	34	1	5.4377970396619695	0.1066476659794542	68.15502845718619	247	138.56285024245926	102.15	460.2697408361352	
19062	1	10.02888318353945	0.10739323102498709	73.22078209046904	247	125.29006908917441	102.45	390.45924548198866	78	1	5.364375184409241	0.1030641040574645	81.1879545612714	247	137.23174554622278	101.55	853.4903722441826	
19375	1	9.481728708776844	0.1075228631258328	72.77400508914212	247	124.01099483739576	102.11	361.080147901413	53	1	5.874439725297572	0.10638021171620295	76.5642091388908	247	128.11165328127413	101.54	1501.2034426929317	
19687	1	7.594225351042852	0.10891566064087838	69.59331575893688	247	127.9623740233215	101.61	1006.9969024380432	79	1	5.760700501181871	0.10803214437377479	78.83824229441349	247	130.34378478030087	101.97	515.8925540428359	
20000	1	13.908399282331281	0.11321052750620567	90.602779772092	247	122.57264364427016	101.83	890.6753287944874	1	1	6.191912124394699	0.10682161207554214	93.19186620221048	247	123.34598526082397	101.88	632.1629656515262	
